src_dogri,tgt_english
मेरे कोल आ,come to me
जा,go
इद्दर बेई जा,sit here
खलोई आ,stand up
बलगी जा,wait
मेरी गल्ल सुन,listen to me
बल्ले बोल,speak slowly
तौले आ,come quickly
घर जा,go home
इत्थै गै खड़ो,stay here
घवरा नीं,don't worry
मेरी मदाद कर,help me
मीं बला,call me
ए लेख लिख,write me
ए पढ़,read this
दरवाजा खोल,open the door
दरवाजा बंद कर,close the door
पानी आन,bring water
ए लै,take this
ओ मीं दे,give me that
अंदर आ,come inside
बाह्र जा,go outside
इधर दिख,look here
उधर दिख,look there
पिच्छे मुड़,turn back
सिद्दे चल,move forward
इत्थै रुक,stop here
हुनें शुरू कर,start now
दवारा कर,try again
सावधान ओह्ई जा,be careful
साफ बोल,speak clearly
बल्लै-बल्लै चल,walk slowly
तेज दौड़,run fast
वाह्‌च आ,come later
हुन जा,go now
चुप करियै बौ,stay quiet
मीं सना,tell me
मीं दस,show me
मीं बल्गी जा,wait for me
मेरे कन्ने आ,come with me
तू कुत्थै जा दा?,where are you going?
तू के करा दा?,what are you doing?
तू कौन ऐ?,who are you?
तू कुत्थै रौना ओह्ना?,where do you live?
ए के ऐ?,what is this?
ओ के ऐ?,what is that?
ऊ मुड़ा कौन ऐ?,who is that boy?
ऊ कुड़ी कौन ऐ?,who is that girl?
ओ मुड़ा कुत्थै ऐ?,where is that boy?
ओ कुड़ी कुत्थै ऐ?,where is that girl?
तू के चाना ऐ?,what do you want?
तू इत्थे कैल्ली ऐ?,why are you here?
तू कदूं औगा?,when will you come?
तेरा के हाल ऐ?,how are you?
तू ठीक ऐ?,are you okay?
तू खागा?,will you eat?
तू मी फोन कित्ता?,did you call me?
तू अपना कम्म पूरा कित्ता?,did you finish your work?
तू समझेआ?,did you understand?
तू त्यार ऐ?,are you ready?
तू कुत्थै गेदा हा?,where did you go?
तूगी चेर की लगया?,why are you late?
तू कदुं आया?,when did you come?
ए किन्ना ए?,how much is this?
तुसेगीं कुन सनाया?,who told you?
के औया?,what happened?
तू दुखी कैंलीं ऐ?,why are you sad?
तू खुश कैंलीं ऐ?,why are you happy?
तेरा घर कुत्थे ऐ?,where is your house?
तेरा नां के ऐ?,what is your name?
ओ सारे कुत्थे न?,where are they?
ओ के करादे न?,what are they doing?
कुन आवदा?,who is coming?
तुस कदूं जा करदे ओ?,when are you leaving?
तुस की अस्सा दे?,why are you laughing?
तुस की रोआ दे?,why are you crying?
तुन्दा के मतलब ऐ?,what do you mean?
उन्हें किन्ना चेर लाना?,how long did they take?
मैं कुत्थे जा दा?,where am i going?
मैं के करां?,what should i do?
क्या तुस मीगी सुनी सकदे ओ?,can you hear me?
क्या तुस मीगी दिक्खी सकदे ओ?,can you see me?
क्या तुस उन आई सकदे ओ?,can you come now?
तुस कदू औगे?,when will you come?
केह तुस कल औगे?,can you come tomorrow?
क्या तुस मेरी मदद करगे?,will you help me?
क्या तुस मीगी बलागे?,will you call me?
क्या तुस इंतजार करगे?,will you wait?
तुस आवादियाँ?,are you coming?
तुस जा दिआँ?,are you leaving?
ओ त्यार न?,are they ready?
तुंदा केह् हाल ऐ?,how are you?
ऑऊ ठीक आ,i am fine
तुंदा केह् ना ऐ?,what is your name?
मेरा ना राम ऐ,my name is ram
ओ कुड़ी रूट्टी खा रही ऐ,the girl is eating food
कुड़ी स्कूल जा दी ऐ,the girl is going to school
कुड़ी घाबरी गई,the girl got nervous
कुड़ी कुत्थै ऐ?,where is the girl?
ऐह कुड़ी दी कताब ऐ,this book belongs to the girl
कुड़ी गाना गा दी ऐ,the girl is singing a song
ओ कुड़ी मेरी सहेली ऐ,that girl is my friend
कुड़ी दौड़ा दी ऐ,the girl is running
कुड़ी कम्म करा दी ऐ,the girl is working
निक्की कुड़ी खेला दी ऐ,little girl is playing
कुड़ी घर जा दी ऐ,girl is going home
मुड़ा खेला दा,the boy is playing
मुड़ा रौंदा ऐ,the boy is crying
मुड़ा कदो औगा?,when will the boy come?
ओ मुड़ा मेरा भरा ऐ,that boy is my brother
मुड़ा चिट्ठी लिखदा ऐ,the boy is writing a letter
मुड़ा सुत्ता दा ऐ,the boy is sleeping
मुड़ा पीला फल खा दा ऐ,the boy is eating yellow fruit
मुड़े गी सदो,call the boy
मुड़ा स्कूलै च ऐ,the boy is in the school
मुड़ा चा पीया दा ऐ,the boy is drinking tea
मीं पीला झोला लेईदो,buy a yellow bag for me
पानी ठण्डा ऐ,the water is cold
ओ पानी पीया दा ऐ,he is drinking water
ओ पानी पीया दी ऐ,she is drinking water
पानी गलास च ऐ,water is in the glass
थोड़ा पानी देओ,give some water
पानी साफ नहीं ऐ,the water is not clean
पानी गरम करो,heat the water
पानी मुक्की गेआ,the water is finished
ताजा पानी भरो,fill fresh water
पानी संजोई रक्खो,save the water
सड़क साफ़ ऐ,the road is clean
सड़क कुत्थै जा दी ऐ?,where does this road go?
ओ सड़क पर खड़ोते दा ऐ,he is standing on the road
सड़क बड़ी लम्बी ऐ,the road is very long
गड्डी सड़क पर चलदी ऐ,the car runs on the road
नई सड़क बनदी ऐ,a new road is being made
सड़क पर मत चलो,do not walk on the road
सड़क पार करो,cross the road
सड़क तंग ऐ,the road is narrow
सड़क गी ठीक करो,fix the road
ऐह सड़क जम्मू जा दी ऐ,this road goes to jammu
कुत्ता बौंह् बौंह् करा दा ऐ,the dog is barking
मेरा कुत्ता काला ऐ,my dog is black
कुत्ता दौड़दा ऐ,the dog is running
कुत्ते गी रुट्टी पाओ,feed the dog
ओह्दा कुत्ता कित्थै ऐ?,where is his dog
कुत्ता सुत्ते दा ऐ,the dog is sleeping
ऐह बड्डा कुत्ता ऐ,this is a big dog
कां काला ऐ,the crow is black
कुत्ते कोला डरो,beware of the dog
कुत्ता बाहर ऐ,the dog is outside
साड़ा कुत्ता घाबरी गया,our dog got nervous
बिल्ली म्यांऊ करदी ऐ,the cat meows 
